ID,Name,Nexus_File,rooted,type,method,scaling,Source
summary,TREE1,summary.trees,true,summary,bayesian,years,Chang2015
posterior-1,STATE_134608000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-2,STATE_81336000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-3,STATE_119144000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-4,STATE_128296000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-5,STATE_105384000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-6,STATE_115424000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-7,STATE_154192000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-8,STATE_137184000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-9,STATE_101200000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-10,STATE_128904000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-11,STATE_96288000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-12,STATE_136752000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-13,STATE_114224000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-14,STATE_153680000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-15,STATE_102856000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-16,STATE_152512000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-17,STATE_104488000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-18,STATE_126520000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-19,STATE_91968000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-20,STATE_149608000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-21,STATE_134024000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-22,STATE_156688000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-23,STATE_146056000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-24,STATE_101840000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-25,STATE_99424000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-26,STATE_106968000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-27,STATE_90208000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-28,STATE_104904000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-29,STATE_124776000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-30,STATE_122216000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-31,STATE_83088000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-32,STATE_140144000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-33,STATE_124504000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-34,STATE_83528000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-35,STATE_146944000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-36,STATE_134464000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-37,STATE_80456000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-38,STATE_80880000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-39,STATE_101472000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-40,STATE_156040000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-41,STATE_103448000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-42,STATE_117568000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-43,STATE_93048000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-44,STATE_134336000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-45,STATE_93880000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-46,STATE_155776000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-47,STATE_103816000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-48,STATE_129160000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-49,STATE_110496000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-50,STATE_148632000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-51,STATE_158120000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-52,STATE_123240000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-53,STATE_85280000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-54,STATE_110456000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-55,STATE_95704000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-56,STATE_145440000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-57,STATE_108368000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-58,STATE_152760000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-59,STATE_104360000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-60,STATE_113784000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-61,STATE_157152000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-62,STATE_136848000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-63,STATE_147928000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-64,STATE_97024000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-65,STATE_85448000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-66,STATE_101520000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-67,STATE_119496000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-68,STATE_81232000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-69,STATE_99704000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-70,STATE_110032000,posterior.trees,true,sample,bayesian,years,Chang2015
posterior-71,STATE_125840000,posterior.trees,true,sample,bayesian,years,Chang2015
