Site,Label,Concepticon_ID,Concepticon_Gloss
1,I,1209,I
2,I,1209,I
3,I,1209,I
4,all,98,ALL
5,all,98,ALL
6,all,98,ALL
7,all,98,ALL
8,all,98,ALL
9,all,98,ALL
10,all,98,ALL
11,all,98,ALL
12,all,98,ALL
13,all,98,ALL
14,all,98,ALL
15,all,98,ALL
16,all,98,ALL
17,all,98,ALL
18,all,98,ALL
19,all,98,ALL
20,and,1577,AND
21,and,1577,AND
22,and,1577,AND
23,and,1577,AND
24,and,1577,AND
25,and,1577,AND
26,and,1577,AND
27,and,1577,AND
28,and,1577,AND
29,and,1577,AND
30,and,1577,AND
31,and,1577,AND
32,and,1577,AND
33,and,1577,AND
34,and,1577,AND
35,and,1577,AND
36,and,1577,AND
37,and,1577,AND
38,and,1577,AND
39,and,1577,AND
40,and,1577,AND
41,animal,619,ANIMAL
42,animal,619,ANIMAL
43,animal,619,ANIMAL
44,animal,619,ANIMAL
45,animal,619,ANIMAL
46,animal,619,ANIMAL
47,animal,619,ANIMAL
48,animal,619,ANIMAL
49,animal,619,ANIMAL
50,animal,619,ANIMAL
51,animal,619,ANIMAL
52,animal,619,ANIMAL
53,animal,619,ANIMAL
54,animal,619,ANIMAL
55,ashes,646,ASH
56,ashes,646,ASH
57,ashes,646,ASH
58,ashes,646,ASH
59,ashes,646,ASH
60,ashes,646,ASH
61,ashes,646,ASH
62,ashes,646,ASH
63,ashes,646,ASH
64,ashes,646,ASH
65,ashes,646,ASH
66,ashes,646,ASH
67,ashes,646,ASH
68,ashes,646,ASH
69,ashes,646,ASH
70,ashes,646,ASH
71,ashes,646,ASH
72,back,1291,BACK
73,back,1291,BACK
74,back,1291,BACK
75,back,1291,BACK
76,back,1291,BACK
77,back,1291,BACK
78,back,1291,BACK
79,back,1291,BACK
80,back,1291,BACK
81,back,1291,BACK
82,back,1291,BACK
83,back,1291,BACK
84,back,1291,BACK
85,back,1291,BACK
86,back,1291,BACK
87,back,1291,BACK
88,back,1291,BACK
89,back,1291,BACK
90,back,1291,BACK
91,back,1291,BACK
92,back,1291,BACK
93,back,1291,BACK
94,back,1291,BACK
95,back,1291,BACK
96,back,1291,BACK
97,back,1291,BACK
98,back,1291,BACK
99,bad,1292,BAD
100,bad,1292,BAD
101,bad,1292,BAD
102,bad,1292,BAD
103,bad,1292,BAD
104,bad,1292,BAD
105,bad,1292,BAD
